ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B6L03-I-28	作品	作品	zuòpǐn	N	production, work, composition	mquizlet
B6L03-I-36	剎那	剎那	chànà	N	moment, instant	slides
B6L03-I-T-01	生身不息	生身不息	Shēngshēn Bùxí		timeless (name of a dance program)	book
B6L03-I-T-03	勞勃．阿特曼	劳勃．阿特曼	Láobó Ātèmàn		Robert Altman (an American film director, screenwriter, and producer, five-time nominee of the Academy Award for Best Director, 1925-2006)	book
B6L03-I-T-04	舞動世紀	舞动世纪	Wǔdòng Shìjì		The Company (name of a movie, 2003)	book
B6L03-I-T-05	瑪莎．葛蘭姆	马莎．葛兰姆	Mǎshā Gělánmǔ		Martha Graham (an American modern dancer and choreographer, one of the earliest founders of modern dance, 1894-1991)	slides
B6L03-I-T-07	阿喀郎．汗	阿喀郎．汗	Ākèláng Hàn		Akram Khan (an English dancer of Bangladeshi descent, 1974-)	book
B6L03-I-T-08	克理斯多福．惠爾敦	克理斯多福．惠尔敦	Kèlǐsīduōfú Huì'ěrdūn		Christopher Wheeldon (an English international choreographer of contemporary ballet, 1973-)	slides
B6L03-I-T-10	溫蒂．威倫	温迪．威伦	Wēndì Wēilún		Wendy Whelan (a principal dancer with the New York City Ballet and is a guest artist with The Royal Ballet and the Kirov Ballet, 1967-)	slides
B6L03-I-T-11	華岡藝校	华冈艺校	Huágāng Yìxiào		Taipei Hwa Kang Arts School	slides
B6L03-II-02	不間斷（地）	不间断（地）	bú jiànduàn (de)	Adv	without interruption	slides
B6L03-II-27	加諸（在）	加诸（在）	jiāzhū (zài)	V	to be added to, conferred upon	slides
B6L03-II-28	沖昏頭	冲昏头	chōnghūn tóu	Ph	to let something get to your head, let your head swell from (praise, pride, etc.), dazzled by	slides
B6L03-II-37	不自覺	不自觉	búzìjué	Adv	unconsciously, without realizing it	slides
B6L03-II-T-01	羅斯．帕克斯	罗斯．帕克斯	Luósī Pàkèsī		Ross Parkes (formerly a principal dancer for the well-known Martha Graham Dance Company in the United States, 1940-)	book
B6L04-I-0-01	做人	做人	zuòrén	Vi	to conduct oneself, to behave	mquizlet
B6L04-I-0-04	真誠	真诚	zhēnchéng	Vs	sincere, sincerity	mquizlet
B6L04-I-0-06	親和力	亲和力	qīnhélì	N	likeability, affinity	slides
B6L04-I-11	悅耳	悦耳	yuè'ěr	Vs	pleasant sounding, pleasant to the ears	mquizlet
B6L04-I-16	記住	记住	jìzhù	V	remember	book
B6L04-I-19	自顧自（地）	自顾自（地）	zìgùzì (de)	Adv	only thinking about yourself, without taking others into consideration	book
B6L04-I-26	罰站	罚站	fázhàn	V-sep	to be punished by being made to stand	mquizlet
B6L04-I-27	聽教	听教	tīngjiào	Vi	to listen (somebody's "preaching", advice, etc.), be read the riot act	slides
B6L04-I-T-01	黑幼龍	黑幼龙	Hēi Yòulóng		John Hei (the Greater China Group Leader of Carnegie training, who introduced Carnegie training to Taiwan in 1987, 1940-)	slides
B6L04-II-01	心坎	心坎	xīnkǎn	N	from the bottom of one's heart, one's heart of hearts	slides
B6L04-II-11	性格	性格	xìnggé	N	character, personality	mquizlet
B6L04-II-15	發自	发自	fāzì	Vst	originate from, from, s/t finds its source in	slides
B6L04-II-31	藉著	借着	jièzhe	Prep	by means of, relying on	book
B6L04-II-T-01	威廉．詹姆士	威廉．詹姆士	Wēilián Zhānmǔshì		William James (an American philosopher and psychologist, and one of the leading thinkers of the late nineteenth century, while others have labeled him the "Father of American psychology", 1842-1910)	book
B6L04-III-01	機緣	机缘	jīyuán	N	connections to great opportunities	book
B6L04-III-02	飯店	饭店	fàndiàn	N	hotel (modern, especially in Taiwan)	book
B6L04-III-03	伸	伸	shēn	V	to extend, stretch	book
B6L04-III-04	名片	名片	míngpiàn	N	business card	book
B6L04-III-05	正	正	zhèng	Adv	just, exactly	book
B6L04-III-06	夢寐以求	梦寐以求	mèngmèi yǐqiú	Id	dream (as in 'a dream job')	book
B6L04-III-07	直覺（地）	直觉（地）	zhíjué (de)	Adv	intuitively	book
B6L04-III-08	淡季	淡季	dànjì	N	low season, off season	book
B6L04-III-09	吃了一驚	吃了一惊	chīle yìjīng	Ph	be greatly surprised, taken aback, caught off guard	book
B6L04-III-10	忠誠	忠诚	zhōngchéng	Vs/N	faithful; faithfulness, fidelity	book
B6L04-III-11	跳槽	跳槽	tiàocáo	Vi	to change jobs, go job-hopping	book
B6L04-III-12	等候	等候	děnghòu	V	wait, wait for (formal)	book
B6L05-I-12	焦急	焦急	jiāojí	Vs	anxious	mquizlet
B6L05-I-15	臨時	临时	línshí	Vs-attr/Adv	temporary, impromptu	book
B6L05-I-16	口譯	口译	kǒuyì	N/V	(oral) interpretation; to interpret	mquizlet
B6L05-I-18	道謝	道谢	dàoxiè	V-sep	to say thank to, to express appreciation to	slides
B6L05-I-30	接軌	接轨	jiēguǐ	Vi	to integrate with (another entity), to get in step with, (lit. connect rails)	book
B6L05-I-31	身在	身在	shēnzài	Vst	(of a person) located, to be (somewhere)	book
B6L05-II-04	拋	抛	pāo	V	to toss, to throw, cast aside	slides
